,team_shortcode,team,start_year,end_year,name,href,draft_total_bpm,draft_total_vorp,trade_total_bpm,trade_total_vorp,signing_total_bpm,signing_total_vorp,final_bpm,final_vorp,draft_rating_vorp,draft_rating_bpm,draft_num_players,trade_num,signing_num_players,trade_rating_vorp,trade_rating_bpm,signing_rating_vorp,signing_rating_bpm,draft_rating_percentile_vorp,draft_rating_grade_vorp,trade_rating_percentile_vorp,trade_rating_grade_vorp,signing_rating_percentile_vorp,signing_rating_grade_vorp,draft_rating_percentile_bpm,draft_rating_grade_bpm,trade_rating_percentile_bpm,trade_rating_grade_bpm,signing_rating_percentile_bpm,signing_rating_grade_bpm,is_noob,is_active,bpm_rank,vorp_rank
110,['BOS'],['Boston Celtics'],1997,2001,Rick Pitino,/executives/pitinri99x.html,159951.80000000002,63.50000000000001,-30982.000000000004,-4.299999999999999,-43093.69999999998,0.19999999999999574,85876.10000000003,59.400000000000006,-11.75,-10.0,4,47,25,0.36363636363636365,0.18181818181818182,-0.2,-0.6,11.009174311926605,F,93.47826086956522,A+,11.258278145695364,F,16.513761467889907,F,77.53623188405797,B+,15.894039735099337,F,False,False,28.0,34.0
111,['SAS'],['San Antonio Spurs'],1994,2002,Gregg Popovich,/executives/popovgr99x.html,441078.8,169.3,33743.9,10.799999999999997,-52231.90000000002,34.80000000000007,422590.8,214.90000000000006,22.8,21.2,5,32,59,0.3,0.2,0.01694915254237288,-0.3728813559322034,100.0,S,89.85507246376811,A,71.52317880794702,B,100.0,S,82.6086956521739,A-,66.2251655629139,B-,False,False,1.0,2.0
112,['OKC'],['Oklahoma City Thunder'],2007,2026,Sam Presti,/executives/prestsa99x.html,314253.5,144.0,-268219.08458345546,-170.09971816483193,-110680.30000000005,18.19999999999999,-64645.88458345551,-7.899718164831934,4.181818181818182,5.7272727272727275,22,304,192,-0.1717171717171717,-0.06060606060606061,-0.017241379310344827,-0.2988505747126437,72.4770642201835,B,21.014492753623188,D-,56.95364238410596,C+,77.06422018348624,B+,36.95652173913044,D+,80.13245033112582,A-,False,True,120.0,138.0
113,"['POR', 'IND']","['Portland Trail Blazers', 'Indiana Pacers']",2017,2026,Kevin Pritchard,/executives/pritcke01x.html,-74326.5,-4.3,128122.98127065795,32.297234942148684,-5985.899999999965,37.79999999999996,47810.58127065799,65.79723494214865,1.2380952380952381,3.857142857142857,21,135,122,0.0851063829787234,0.1276595744680851,-0.027522935779816515,-0.3302752293577982,51.37614678899082,C,71.73913043478261,B,55.629139072847686,C+,73.39449541284404,B+,71.01449275362319,B,76.82119205298014,B+,False,True,37.0,33.0
114,['BRK'],['Brooklyn Nets'],1990,1996,Willis Reed,/executives/reedwi01x.html,25353.499999999996,24.6,-103558.30000000002,-28.9,-43417.399999999965,3.299999999999997,-121622.19999999998,-0.9999999999999989,-9.142857142857142,-6.285714285714286,7,37,30,0.0,-0.5833333333333334,-0.16666666666666666,-0.5666666666666667,16.513761467889907,F,55.79710144927536,C+,18.543046357615893,F,30.275229357798164,D,4.3478260869565215,F,19.867549668874172,F,False,False,143.0,124.0
115,['SAC'],['Sacramento Kings'],1989,1994,Jerry Reynolds,/executives/reynoje99x.html,-69907.09999999999,8.7,11281.599999999997,7.0,-14029.600000000035,1.600000000000005,-72655.10000000003,17.300000000000004,-3.4545454545454546,-7.181818181818182,11,48,26,-0.07692307692307693,-0.23076923076923078,-0.038461538461538464,-0.34615384615384615,35.77981651376147,D+,34.05797101449275,D+,53.64238410596027,C+,25.68807339449541,D-,16.666666666666668,F,70.86092715231788,B,False,False,123.0,82.0
116,['GSW'],['Golden State Warriors'],2009,2012,Larry Riley,/executives/rileyla99x.html,229076.3,90.20000000000002,77664.80000000002,32.0,-16112.999999999854,3.9000000000000057,290628.10000000015,126.10000000000002,-3.0,-3.75,4,41,22,-0.07142857142857142,0.14285714285714285,-0.13636363636363635,-0.5909090909090909,37.61467889908257,D+,35.507246376811594,D+,25.827814569536425,D-,35.77981651376147,D+,72.46376811594203,B,16.556291390728475,F,False,False,6.0,13.0
117,['MIA'],['Miami Heat'],2008,2026,Pat Riley,/executives/rileypa01x.html,24367.699999999997,33.9,183920.63983747535,57.584145616949634,-18583.999999999985,77.90000000000012,189704.33983747536,169.38414561694975,3.8181818181818183,-1.3636363636363635,11,128,221,0.06382978723404255,-0.0425531914893617,0.08018867924528301,-0.3113207547169811,68.80733944954129,B,65.94202898550725,B-,81.45695364238411,A-,51.37614678899082,C,38.405797101449274,D+,78.80794701986756,B+,False,True,11.0,7.0
118,['LAC'],['Los Angeles Clippers'],2013,2017,Doc Rivers,/executives/riverdo99x.html,-2211.5,0.0,7334.2999999999965,8.8,41798.899999999994,37.89999999999998,46921.69999999999,46.69999999999998,,,3,52,56,-0.17647058823529413,-0.17647058823529413,0.0,-0.4716981132075472,,,20.28985507246377,D-,68.87417218543047,B,,,21.014492753623188,D-,44.370860927152314,C-,True,False,38.0,44.0
119,['LAC'],['Los Angeles Clippers'],2012,2012,Andy Roeser,/executives/roesean99x.html,0.0,0.0,2191.5999999999995,0.4999999999999999,-7873.999999999999,4.499999999999999,-5682.4,4.999999999999999,,,0,8,4,,,,,,,,,,,,,,,,,True,False,72.0,108.0
